what	file	became
renamed	megadrive/Super Bubble Bobble MD (China) (Unl).zip	megadrive/Super Bubble Bobble (Taiwan) (En).zip
renamed	megadrive/NHL 98 (USA).zip	megadrive/NHL 95 (USA, Europe).zip
renamed	megadrive/Tommy Lasorda Baseball (USA).zip	megadrive/Tommy Lasorda Baseball (USA) (Rev A).zip
renamed	megadrive/Junction (Japan, USA).zip	megadrive/Junction (Japan, USA) (En).zip
renamed	megadrive/Star Trek - The Next Generation - Echoes from the Past (USA).zip	megadrive/Star Trek - The Next Generation - Echoes from the Past (USA) (Rev A).zip
renamed	megadrive/Adventurous Boy - Mao Xian Xiao Zi (China) (Unl).zip	megadrive/Adventurous Boy - Maoxian Xiaozi (Taiwan) (En).zip
renamed	megadrive/Back to the Future Part III (USA).zip	megadrive/Back to the Future Part III (Europe).zip
renamed	megadrive/Street Smart (Japan, USA).zip	megadrive/Street Smart (Japan, USA) (En).zip
renamed	megadrive/Body Count (Europe).zip	megadrive/Body Count (Brazil) (En).zip
renamed	megadrive/New Zealand Story, The (Japan).zip	megadrive/Hybrid Front, The (Japan).zip
renamed	megadrive/International Superstar Soccer Deluxe (Europe).zip	megadrive/International Superstar Soccer Deluxe (Europe, Brazil) (En).zip
renamed	megadrive/Divine Sealing (Japan) (Unl).zip	megadrive/Dial Q o Mawase! (Japan).zip
renamed	megadrive/Alien 3 (USA, Europe).zip	megadrive/Alien 3 (USA, Europe) (Rev A).zip
renamed	megadrive/Bloodshot (Europe).zip	megadrive/Cool Spot (Europe).zip
renamed	megadrive/Spider-Man (World) (Sega).zip	megadrive/Spider-Man vs. The Kingpin (World).zip
renamed	megadrive/Putter Golf (Japan).zip	megadrive/Battle Golfer Yui (Japan).zip
renamed	megadrive/Ecco the Dolphin (USA, Europe).zip	megadrive/Ecco the Dolphin (USA, Europe, Korea) (En).zip
renamed	megadrive/Super Battleship (USA).zip	megadrive/Super Battleship - The Classic Naval Combat Game (USA).zip
renamed	megadrive/Beggar Prince (World) (Unl).zip	megadrive/Beggar Prince (USA, Europe) (Rev 1) (Super Fighter Team).zip
renamed	megadrive/Turma da Monica na Terra dos Monstros (Brazil).zip	megadrive/Show do Milhao - Volume 2 (Brazil).zip
renamed	megadrive/Prince of Persia 2 - The Shadow and the Flame (Europe) (Proto).zip	megadrive/Prince of Persia 2 (Europe) (Proto).zip
renamed	megadrive/FIFA Soccer 97 (USA, Europe).zip	megadrive/FIFA Soccer 97 (USA, Europe) (En,Fr,De,Es,It,Sv).zip
renamed	megadrive/Raiden Trad (Japan, USA).zip	megadrive/Raiden Trad (Japan, USA) (En).zip
renamed	megadrive/Spiritual Warfare (USA) (Unl).zip	megadrive/Spiritual Warfare (USA).zip
renamed	megadrive/Magic Bubble (China) (Unl).zip	megadrive/Sanguozhi V (Taiwan).zip
renamed	megadrive/Sylvester and Tweety in Cagey Capers (USA).zip	megadrive/Sylvester & Tweety in Cagey Capers (USA, Europe).zip
renamed	megadrive/Super Battletank - War in the Gulf (USA).zip	megadrive/Garry Kitchen's Super Battletank - War in the Gulf (USA).zip
renamed	megadrive/Asterix and the Great Rescue (USA).zip	megadrive/Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It).zip
renamed	megadrive/Cadash (USA, Asia).zip	megadrive/Cadash (USA, Korea) (En).zip
renamed	megadrive/Task Force Harrier EX (USA).zip	megadrive/Task Force Harrier EX (Japan) (En).zip
renamed	megadrive/NCAA Football (USA).zip	megadrive/NFL Football '94 (Japan) (En).zip
renamed	megadrive/Aero the Acro-Bat (USA).zip	megadrive/Aero the Acro-Bat (Europe).zip
renamed	megadrive/Tecmo World Cup (USA).zip	megadrive/Tecmo World Cup '92 (Japan) (En).zip
renamed	megadrive/RoboCop versus The Terminator (USA).zip	megadrive/RoboCop Versus The Terminator (Europe).zip
renamed	megadrive/Beast Ball (USA) (Proto).zip	megadrive/Fun Car Rally (USA, Beta).zip
renamed	megadrive/Fido Dido (USA) (Proto).zip	megadrive/Frog Dude (Europe, Proto).zip
renamed	megadrive/Herzog Zwei (USA, Europe).zip	megadrive/Herzog Zwei (Japan).zip
renamed	megadrive/Tecmo Super Baseball (USA).zip	megadrive/2020 Nen Super Baseball (Japan).zip
renamed	megadrive/Sonic 3D Blast (USA, Europe).zip	megadrive/Sonic 3D Blast (USA, Europe, Korea) (En).zip
renamed	megadrive/Mick & Mack as the Global Gladiators (USA).zip	megadrive/Global Gladiators (Europe).zip
renamed	megadrive/Mike Ditka Power Football (USA, Europe).zip	megadrive/Mike Ditka Power Football (USA, Europe) (Alt).zip
renamed	megadrive/Spider-Man and X-Men - Arcade's Revenge (USA, Europe).zip	megadrive/Spider-Man - X-Men - Arcade's Revenge (USA, Europe).zip
renamed	megadrive/Vectorman (USA, Europe).zip	megadrive/Vectorman (USA, Europe) (Beta 2).zip
renamed	megadrive/NHL '94 (USA, Europe).zip	megadrive/NHLPA Hockey 93 (USA, Europe, Rev 1).zip
renamed	megadrive/Davis Cup Tennis (USA, Europe).zip	megadrive/Davis Cup World Tour (USA, Europe).zip
renamed	megadrive/ATP Tour Championship Tennis (USA).zip	megadrive/ATP Tour (Europe).zip
renamed	megadrive/Super Hang-On (World).zip	megadrive/Super Hang-On (Europe) (En,Ja) (Rev A).zip
renamed	megadrive/Zhuo Gui Da Shi - Ghost Hunter (China) (Unl).zip	megadrive/Zhua Gui Dashi - Ghost Hunter (Taiwan).zip
renamed	megadrive/Ooze, The (Japan, USA).zip	megadrive/Ooze, The (Japan, USA) (En).zip
renamed	megadrive/Pyramid Magic Special (Japan).zip	megadrive/Wardner no Mori Special (Japan).zip
renamed	megadrive/Rugby World Cup 95 (USA, Europe).zip	megadrive/Rugby World Cup 95 (USA, Europe) (En,Fr,It).zip
renamed	megadrive/Pulseman (Japan) (Translated En).zip	megadrive/Pulseman (Japan).zip
renamed	megadrive/16t (Japan).zip	megadrive/V-V (Japan, En).zip
renamed	megadrive/Demolition Man (USA, Europe).zip	megadrive/Demolition Man (USA, Europe) (Beta).zip
renamed	megadrive/Medal City (Japan).zip	megadrive/Samurai Shodown (Japan).zip
renamed	megadrive/Toys (USA).zip	megadrive/Toys - Let the Toy Wars begin! (USA).zip
renamed	megadrive/Olympic Summer Games (USA, Europe).zip	megadrive/Olympic Summer Games (USA).zip
renamed	megadrive/Beavis and Butt-Head (USA).zip	megadrive/Beavis and Butt-Head (Europe).zip
renamed	megadrive/Top Pro Golf (Japan).zip	megadrive/Top Pro Golf 2 (Japan) (En).zip
renamed	megadrive/Gouketsuji Ichizoku (Japan).zip	megadrive/Koutetsu Teikoku (Japan).zip
renamed	megadrive/FIFA 98 - Road to World Cup (Europe).zip	megadrive/FIFA 98 - Road to World Cup (Europe) (En,Fr,Es,It,Sv).zip
renamed	megadrive/Zero Tolerance (USA, Europe).zip	megadrive/Zero Tolerance (USA, Europe) (Rev A).zip
renamed	megadrive/Wild Snake (USA) (Proto).zip	megadrive/WildSnake (USA) (Proto 2).zip
renamed	megadrive/Granada (Japan, USA).zip	megadrive/Granada (Japan, USA) (En) (Rev A).zip
renamed	megadrive/Earth Defense (USA) (Unl).zip	megadrive/Earth Defense (USA, Taiwan) (En).zip
renamed	megadrive/Dino Dini's Soccer (Europe).zip	megadrive/Dino Dini's Soccer (Europe) (En,Fr,De).zip
renamed	megadrive/Boogerman - A Pick and Flick Adventure (USA).zip	megadrive/Boogerman - A Pick and Flick Adventure (Europe).zip
renamed	megadrive/Pyramid Magic II (Japan).zip	megadrive/Caesar no Yabou II (Japan).zip
renamed	megadrive/Hyper Marbles (Japan).zip	megadrive/Jewel Master (Japan, En).zip
renamed	megadrive/Gunship (Europe).zip	megadrive/Gynoug (Europe).zip
renamed	megadrive/FIFA International Soccer (USA, Europe).zip	megadrive/FIFA International Soccer (Japan) (En,Ja).zip
renamed	megadrive/Asterix and the Power of the Gods (Europe).zip	megadrive/Asterix and the Power of the Gods (Europe) (Beta).zip
renamed	megadrive/Warpspeed (USA).zip	megadrive/WarpSpeed (USA, Europe).zip
renamed	megadrive/Squirrel King (China) (Unl).zip	megadrive/Shiliu Zhang Mahjong - Xiangyan Meiren Pian (Taiwan).zip
renamed	megadrive/Golden Axe III (Japan).zip	megadrive/Golden Axe III (Japan) (En).zip
renamed	megadrive/Lobo (USA) (Proto).zip	megadrive/Dominus (USA, Proto, Alt).zip
renamed	megadrive/Awesome Possum Kicks Dr Machino's Butt! (USA).zip	megadrive/Awesome Possum Kicks Dr. Machino's Butt! (USA) (Beta 1).zip
renamed	megadrive/Star Odyssey (World) (Unl).zip	megadrive/Star Odyssey (USA) (Super Fighter Team).zip
renamed	megadrive/Twin Hawk (Japan, Europe).zip	megadrive/Crack Down (Japan, En).zip
renamed	megadrive/Ultimate Soccer (Europe).zip	megadrive/Ultimate Soccer (Europe) (En,Fr,De,Es,It) (Beta).zip
renamed	megadrive/Sonic & Knuckles + Sonic the Hedgehog 3 (World).zip	megadrive/Sonic & Knuckles + Sonic The Hedgehog 3 (USA) (Lock-On).zip
renamed	megadrive/Formula One (USA).zip	megadrive/Corporation (Europe).zip
renamed	megadrive/Aa Harimanada (Japan).zip	megadrive/雀偵物語 (Japan).zip
renamed	megadrive/Shui Hu - Feng Yun Zhuan (China) (Unl).zip	megadrive/Shuihu Fengyun Zhuan (Taiwan).zip
renamed	megadrive/John Madden Football '92 (USA, Europe).zip	megadrive/John Madden Football - Pro Football (Japan) (En).zip
renamed	megadrive/Pier Solar and the Great Architects (USA) (Unl).zip	megadrive/Pier Solar and the Great Architects (Japan) (En,Fr,Es).zip
renamed	megadrive/Kyuukai Douchuuki (Japan).zip	megadrive/Twin Cobra (Japan, En).zip
renamed	megadrive/Captain Planet and the Planeteers (USA).zip	megadrive/Captain Planet and the Planeteers (Europe) (Beta).zip
renamed	megadrive/Micro Machines Military (Europe).zip	megadrive/Micro Machines - Military (Europe) (J-Cart).zip
renamed	megadrive/Desert Strike - Return To The Gulf (USA, Europe).zip	megadrive/Desert Strike - Wangan Sakusen (Japan, Korea, Ja).zip
renamed	megadrive/Gain Ground (World).zip	megadrive/Gain Ground (USA).zip
renamed	megadrive/John Madden Football (USA, Europe).zip	megadrive/Marko's Magic Football (Europe, En,Fr,De,Es).zip
renamed	megadrive/Ferrari Grand Prix Challenge (USA).zip	megadrive/Ferrari Grand Prix Challenge (Europe).zip
renamed	megadrive/Micro Machines (USA, Europe).zip	megadrive/Micro Machines (Europe).zip
renamed	megadrive/Verytex (Japan).zip	megadrive/Volfied (Japan, En).zip
renamed	megadrive/ESWAT - City Under Siege (USA, Europe).zip	megadrive/ESWAT - City under Siege (USA, Europe) (Rev A).zip
renamed	megadrive/Link Dragon (China) (Unl).zip	megadrive/Taiwan Daheng (Taiwan).zip
renamed	megadrive/Sonic & Knuckles + Sonic the Hedgehog (World).zip	megadrive/Sonic & Knuckles + Sonic The Hedgehog (USA, Europe) (Lock-On).zip
renamed	megadrive/Yang Jia Jiang - Yang Warrior Family (China) (Unl).zip	megadrive/Yimen Yinglie - Yangjia Jiang (Taiwan).zip
renamed	megadrive/Mr. Nutz 2 (USA) (Proto).zip	megadrive/Mr. Nutz - Hoppin' Mad (Europe) (Proto).zip
renamed	megadrive/Road Rash 3 (USA, Europe).zip	megadrive/Road Rash 3 (USA, Europe) (Beta).zip
renamed	megadrive/Skeleton Krew (USA).zip	megadrive/Skeleton Krew (Europe).zip
renamed	megadrive/Waialae no Kiseki (Japan).zip	megadrive/Bahamut Senki (Japan).zip
renamed	megadrive/Super Monaco GP (USA).zip	megadrive/Super Monaco GP (USA) (En,Ja) (Sega Classic).zip
renamed	megadrive/Saturday Night Slammasters (USA).zip	megadrive/Saturday Night Slammasters (Europe).zip
renamed	megadrive/Flintstones, The (USA).zip	megadrive/Flintstones, The (Japan).zip
renamed	megadrive/Flashback - The Quest for Identity (USA).zip	megadrive/Flashback (Europe).zip
renamed	megadrive/Taz-Mania (World).zip	megadrive/Daana (Korea).zip
renamed	megadrive/Fun 'N' Games (USA).zip	megadrive/Fun 'n Games (Europe).zip
